date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:33:41	69/69	---MCZ	200	added ('OK')	text/plain	date:Thu,%2012%20Apr%202018%2004:33:40%20GMT	http://archive.agribankquan5.com.vn/robots.txt		(from )
11:33:43	96607/96607	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Apr%202018%2004:33:42%20GMT	http://archive.agribankquan5.com.vn/	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/index.html	(from )
11:33:43	94699/94699	---M-Z	200	added ('OK')	text/css	etag:%22171eb-569952ae422a5-gzip%22	http://archive.agribankquan5.com.vn/wp-content/cache/autoptimize/css/autoptimize_4d6b826c79da829e8d7f8bab9c27b239.css	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/wp-content/cache/autoptimize/css/autoptimize_4d6b826c79da829e8d7f8bab9c27b239.css	(from http://archive.agribankquan5.com.vn/)
11:33:44	902/902	---M-Z	200	added ('OK')	text/xml	date:Thu,%2012%20Apr%202018%2004:33:44%20GMT	http://archive.agribankquan5.com.vn/xmlrpc.php?rsd	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/xmlrpc0db0.php	(from http://archive.agribankquan5.com.vn/)
11:33:45	757/757	---M-Z	200	added ('OK')	application/rss+xml	etag:%229a4f64eb73447af68e44c3b136423bb8-gzip%22	http://archive.agribankquan5.com.vn/trang-chu/feed/	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/trang-chu/feed/index.html	(from http://archive.agribankquan5.com.vn/)
11:33:45	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-569902b1f0d97-gzip%22	http://archive.agribankquan5.com.vn/wp-includes/wlwmanifest.xml	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/wp-includes/wlwmanifest.xml	(from http://archive.agribankquan5.com.vn/)
11:33:46	2264/2264	---MCZ	200	added ('OK')	application/json	date:Thu,%2012%20Apr%202018%2004:33:45%20GMT	http://archive.agribankquan5.com.vn/wp-json/oembed/1.0/embed?url=http%3A%2F%2Farchive.agribankquan5.com.vn%2F	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/wp-json/oembed/1.0/embeddf63.json	(from http://archive.agribankquan5.com.vn/)
11:33:46	56536/56536	---MCZ	200	added ('OK')	application/json	date:Thu,%2012%20Apr%202018%2004:33:45%20GMT	http://archive.agribankquan5.com.vn/wp-json/	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/wp-json/index.html	(from http://archive.agribankquan5.com.vn/)
11:33:46	2373/2373	---M-Z	200	added ('OK')	text/xml	date:Thu,%2012%20Apr%202018%2004:33:46%20GMT	http://archive.agribankquan5.com.vn/wp-json/oembed/1.0/embed?url=http%3A%2F%2Farchive.agribankquan5.com.vn%2F&format=xml	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/wp-json/oembed/1.0/embed5d0e	(from http://archive.agribankquan5.com.vn/)
11:33:47	11241/11241	---M--	200	added ('OK')	image/png	etag:%222be9-569902ccee846%22	http://archive.agribankquan5.com.vn/wp-content/uploads/2015/05/agribank-quan-5.png	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/wp-content/uploads/2015/05/agribank-quan-5.png	(from http://archive.agribankquan5.com.vn/)
